SALES BY BRANCH
Shop,Product Code,Product Name,Total Quantity
JOHAR TOWN PHARMACY,892977,Gluvit-S Collagen Hyaluronic Shampoo 250ml 1s,1
JOHAR TOWN PHARMACY,893155,Gluvit-S Moisturizer For Normal 50ml 1s,1
JOHAR TOWN PHARMACY,893156,Gluvit-S Face Washing Gel 100ml 1s,2
JOHAR TOWN PHARMACY,893157,Gluvit-S Face Wash 100ml 1s,6
JOHAR TOWN PHARMACY,,SHOP TOTAL,213


TOTAL SALES BY PRODUCT (ACROSS ALL BRANCHES)
Product Code,Product Name,Total Quantity
0004510002,Nutraxin Artroflex HYA-C-II Tab 90s (1s),3
0004510004,Nutraxin Coenzyme Q-10 100mg Cap (30s) 1s,1
0004510006,Nutraxin Omega-3 2000mg Cap 60s (1s),15
0004510009,Nutraxin B Vitamin Complex Tab 60s (1s),2
0004510011,Nutraxin Vitamin D3 1000IU Tab 120s (1s),4
0004510013,Nutraxin Ultra Men Tab 60s (1s),6
003271160316,Healthmax o3 fish oil 30s softgels 1s,4
003271160318,Healthmax epos 30s soft gel 1s,4
003271160326,Healthmax Calzm 30s Softgel 1s,3
003271341131,MY-D3 Vitamin D3 cap 1s,246
004510003,Nutraxin Biotin 5000mcg Tab 30s (1s),6
00451880106,Nutraxin Magnesium 250 mg Tablet (60s) 1s,11
00451880108,Nutraxin B12 vitamin Sublingual Tablet (60s) 1s,7
00451880109,Nutraxin Omega-3+CoQ-10 (60s) 1s,4
00451880110,B-One Formula Tablet (90s) 1s,4
00451880111,Nutraxin Mens Multi Vitamin Complex Tablet (60s) 1s,6
00451880112,Womens Multi Vitamin Complex Tablet (60s) 1s,6
0106510705531,Gluvit-s Sc oral liquid 30ml 15s,32
010651070566,Gluvit-S Febectal Cap 30s,60
010651140601,Gluvit S Collagen Febgen Liquid Supplement 30ml 1s,3
010651180290,Healthmax Solam Men Tab 1s,1
010651240273,Health Max Asron tab 30s,141
010651340334,Healthmax Magnesium Glycinate tab (30) 1s,1
01065810168,Gluvit-s 500mg cap 30s,227
10651240224,Health Max Arthoflex tab 60 1s,1
886070,Bioxsine Dernagen fort shampo 300ml 1s,1
889774,Bioxsine Shampoo Forte 100ml 1s,3
890625,Nutraxin Zinc 15mg Tab (100s) 1s,1
891046,Gluvit-S Face Body Lotion 100ml 1s,1
891047,Gluvit-S Sc Sunscreen Spf 60 30ml 1s,6
891048,Gluvit-S Skin Brightening Cream 30gm 1s,20
891049,Gluvit-S Whitening Soap 75gm 1s,7
891458,Gluvit-S Anti Acne Serum 30ml 1s,3
891459,Gluvit-S Brightening Serum 30ml 1s,2
891460,Gluvit-S Vitamin C Serum 30ml 1s,2
892057,Gluvit-S Collagen Powder 300G 1s,6
892977,Gluvit-S Collagen Hyaluronic Shampoo 250ml 1s,3
892978,Gluvit-S Collagen Keratin Shampoo 250ml 1s,1
892979,Gluvit-S Micellar Water 100ml 1s,1
893155,Gluvit-S Moisturizer For Normal 50ml 1s,5
893156,Gluvit-S Face Washing Gel 100ml 1s,4
893157,Gluvit-S Face Wash 100ml 1s,14
893164,Bioxsine Argan Conditioner 250ml 1s,1
893166,Bioxsine Collagen Shampoo 300ml 1s,1
893167,Bioxsine Keratin Shampoo 300ml 1s,2
,GRAND TOTAL,882
